开始日期,2024-01-01,,,,,开始日期,2024-01-01,,
截止日期,当前日期,,,,,截止日期,当前日期,,
证券代码,P.DCE,P00.DCE,P01M.DCE,P05M.DCE,证券代码,P01M.DCE,P05M.DCE,,
证券简称,DCE主力,棕榈油近月合约,棕榈油1月合约,棕榈油5月合约,证券简称,棕榈油1月合约,棕榈油5月合约,,
日期,收盘价,,,,,日期,收盘价,,
Date,close,,,,,Date,settle,,
2024-01-02,7480,7420,7440,7500,2024-01-02,7420,7480,,
2024-01-03,7510,7440,7460,7520,2024-01-03,7440,7500,,
2024-01-04,7490,7430,7450,7510,2024-01-04,7430,7490,,
2024-01-05,7550,7480,7500,7560,2024-01-05,7480,7540,,
2024-01-08,7580,7510,7530,7590,2024-01-08,7510,7570,,
